urls;actions;numerosity
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=21&GameID=0022401224&Season=2024-25&flag=1&title=Simmons%20Out%20of%20Bounds%20Lost%20Ball%20Turnover%20(P1.T1);[{'player': '10', 'action': 'Turnover', 'result': None, 'assisted': None, 'other_player': None, 'color': 'gray'}];1
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=265&GameID=0022401228&Season=2024-25&flag=1&title=Waters%20III%20P.FOUL%20(P1.T2)%20(D.Collins);[{'player': '43', 'action': 'Foul', 'result': None, 'assisted': None, 'other_player': None, 'color': 'blue'}];1
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=25&GameID=0022400378&Season=2024-25&flag=1&title=Krej%C4%8D%C3%AD%20P.FOUL%20(P1.T1)%20(J.Van%20Duyne);[{'player': '27', 'action': 'Foul', 'result': None, 'assisted': None, 'other_player': None, 'color': 'white'}];1
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=87&GameID=0022400873&Season=2024-25&flag=1&title=DiVincenzo%20STEAL%20(1%20STL);[{'player': '1', 'action': 'Turnover', 'result': None, 'assisted': None, 'other_player': None, 'color': 'purple'}, {'player': '0', 'action': 'Steal', 'result': None, 'assisted': None, 'other_player': None, 'color': 'white'}];2
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=611&GameID=0022401218&Season=2024-25&flag=1&title=Randle%20S.FOUL%20(P2.T2)%20(B.Barnaky);[{'player': '30', 'action': 'Foul', 'result': None, 'assisted': None, 'other_player': None, 'color': 'green'}];1
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=711&GameID=0022401225&Season=2024-25&flag=1&title=Sabonis%20P.FOUL%20(P3.PN)%20(M.Davis);[{'player': '11', 'action': 'Foul', 'result': None, 'assisted': None, 'other_player': None, 'color': 'black'}];1
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=154&GameID=0022400366&Season=2024-25&flag=1&title=Clarke%20S.FOUL%20(P1.PN)%20(B.Forte);[{'player': '15', 'action': 'Foul', 'result': None, 'assisted': None, 'other_player': None, 'color': 'blue'}];1
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=494&GameID=0022400861&Season=2024-25&flag=1&title=Claxton%20S.FOUL%20(P3.T3)%20(A.Nagy);[{'player': '33', 'action': 'Foul', 'result': None, 'assisted': None, 'other_player': None, 'color': 'white'}];1
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=267&GameID=0022401217&Season=2024-25&flag=1&title=Coulibaly%20P.FOUL%20(P2.PN)%20(J.Williams);[{'player': '0', 'action': 'Foul', 'result': None, 'assisted': None, 'other_player': None, 'color': 'gray'}];1
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=324&GameID=0022400862&Season=2024-25&flag=1&title=Valan%C4%8Di%C5%ABnas%20S.FOUL%20(P2.T4)%20(R.Hussey);[{'player': '17', 'action': 'Foul', 'result': None, 'assisted': None, 'other_player': None, 'color': 'black'}];1
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=197&GameID=0022400864&Season=2024-25&flag=1&title=Post%20P.FOUL%20(P1.T1)%20(C.Blair);[{'player': '21', 'action': 'Foul', 'result': None, 'assisted': None, 'other_player': None, 'color': 'blue'}];1
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=451&GameID=0022400371&Season=2024-25&flag=1&title=Camara%20P.FOUL%20(P3.T4)%20(K.Scott);[{'player': '33', 'action': 'Foul', 'result': None, 'assisted': None, 'other_player': None, 'color': 'black'}];1
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=210&GameID=0022401217&Season=2024-25&flag=1&title=Brown%20Out%20of%20Bounds%20Lost%20Ball%20Turnover%20(P2.T5);[{'player': '7', 'action': 'Turnover', 'result': None, 'assisted': None, 'other_player': None, 'color': 'green'}];1
