urls;actions;numerosity
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=559&GameID=0022400433&Season=2024-25&flag=1&title=Yabusele%20REBOUND%20(Off:5%20Def:3);[{'player': '0', 'action': '3PT Shot', 'result': False, 'assisted': False, 'other_player': None, 'color': 'white'}, {'player': '28', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None, 'color': 'white'}];2
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=525&GameID=0022400886&Season=2024-25&flag=1&title=BULLS%20Rebound;[{'player': '0', 'action': '3PT Shot', 'result': False, 'assisted': False, 'other_player': None, 'color': 'white'}, {'player': '5', 'action': 'Block', 'result': None, 'assisted': None, 'other_player': None, 'color': 'black'}];2
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=58&GameID=0022400865&Season=2024-25&flag=1&title=Brown%20REBOUND%20(Off:0%20Def:3);[{'player': '11', 'action': '3PT Shot', 'result': False, 'assisted': False, 'other_player': None, 'color': 'green'}, {'player': '9', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None, 'color': 'white'}];2
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=20&GameID=0022400898&Season=2024-25&flag=1&title=Zubac%20REBOUND%20(Off:0%20Def:1);[{'player': '5', 'action': '3PT Shot', 'result': False, 'assisted': False, 'other_player': None, 'color': 'white'}, {'player': '40', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None, 'color': 'blue'}];2
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=295&GameID=0022401222&Season=2024-25&flag=1&title=Richards%20Free%20Throw%202%20of%202%20(8%20PTS);[{'player': '4', 'action': 'Free Throw', 'result': True, 'assisted': False, 'other_player': None, 'color': 'blue'}];1
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=632&GameID=0022401220&Season=2024-25&flag=1&title=Smart%20REBOUND%20(Off:1%20Def:2);[{'player': '12', 'action': '3PT Shot', 'result': False, 'assisted': False, 'other_player': None, 'color': 'white'}, {'player': '36', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None, 'color': 'blue'}];2
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=474&GameID=0022400879&Season=2024-25&flag=1&title=Wiggins%20REBOUND%20(Off:2%20Def:3);[{'player': '3', 'action': 'Free Throw', 'result': False, 'assisted': False, 'other_player': None, 'color': 'black'}, {'player': '21', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None, 'color': 'white'}];2
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=101&GameID=0022400874&Season=2024-25&flag=1&title=Vanderbilt%20REBOUND%20(Off:0%20Def:1);[{'player': '77', 'action': 'Turnover', 'result': None, 'assisted': None, 'other_player': None, 'color': 'white'}, {'player': '7', 'action': 'Steal', 'result': None, 'assisted': None, 'other_player': None, 'color': 'blue'}, {'player': '24', 'action': '3PT Shot', 'result': False, 'assisted': False, 'other_player': None, 'color': 'blue'}, {'player': '2', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None, 'color': 'white'}];4
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=586&GameID=0022400367&Season=2024-25&flag=1&title=MISS%20Ryan%2024%27%203PT%20Jump%20Shot;[{'player': '37', 'action': '3PT Shot', 'result': False, 'assisted': False, 'other_player': None, 'color': 'blue'}];1
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=153&GameID=0022401226&Season=2024-25&flag=1&title=Juzang%20REBOUND%20(Off:0%20Def:1);[{'player': '1', 'action': '3PT Shot', 'result': False, 'assisted': False, 'other_player': None, 'color': 'red'}, {'player': '33', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None, 'color': 'white'}];2
