files;actions_name;number_actions
../validation/2025/multi/det-vs-okc-0022401108_28.mp4;[{'player': 0, 'jersey_color': 'red', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 7, 'jersey_color': 'blue', 'action': 'Block', 'result': None, 'assisted': None, 'other_player': 0}, {'player': 5, 'jersey_color': 'blue', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];3
../validation/2025/multi/det-vs-okc-0022401108_3.mp4;[{'player': 9, 'jersey_color': 'white', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 7, 'jersey_color': 'blue', 'action': 'Block', 'result': None, 'assisted': None, 'other_player': 9}, {'player': 5, 'jersey_color': 'blue', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];3
../validation/2025/multi/det-vs-okc-0022401108_24.mp4;[{'player': 22, 'jersey_color': 'white', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 0, 'jersey_color': 'white', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}, {'player': 0, 'jersey_color': 'white', 'action': 'Turnover', 'result': None, 'assisted': None, 'other_player': 2}, {'player': 2, 'jersey_color': 'blue', 'action': 'Steal', 'result': None, 'assisted': None, 'other_player': 0}];4
../validation/2025/multi/det-vs-okc-0022401108_16.mp4;[{'player': 2, 'jersey_color': 'blue', 'action': 'Pass', 'result': None, 'assisted': None, 'other_player': 7}, {'player': 7, 'jersey_color': 'blue', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': 2}];2
../validation/2025/multi/gsw-vs-mem-0022401100_17.mp4;[{'player': 11, 'jersey_color': 'blue', 'action': '2PT Shot', 'result': False, 'assisted': True, 'other_player': 30}, {'player': 13, 'jersey_color': 'red', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
../validation/2025/multi/gsw-vs-mem-0022401100_9.mp4;[{'player': 23, 'jersey_color': 'blue', 'action': '3PT Shot', 'result': False, 'assisted': True, 'other_player': 30}, {'player': 12, 'jersey_color': 'red', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
../validation/2025/multi/gsw-vs-mem-0022401100_21.mp4;[{'player': 10, 'jersey_color': 'red', 'action': '3PT Shot', 'result': False, 'assisted': True, 'other_player': 22}, {'player': 4, 'jersey_color': 'blue', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}, {'player': 13, 'jersey_color': 'red', 'action': 'Foul', 'result': None, 'assisted': None, 'other_player': 4}];3
../validation/2025/multi/gsw-vs-mem-0022401100_5.mp4;[{'player': 10, 'jersey_color': 'blue', 'action': 'Free Throw', 'result': True, 'assisted': None, 'other_player': None}];1
../validation/2025/multi/min-vs-den-0022401102_30.mp4;[{'player': 1, 'jersey_color': 'white', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': 15}];1
../validation/2025/multi/min-vs-den-0022401102_3.mp4;[{'player': 5, 'jersey_color': 'green', 'action': 'Turnover', 'result': None, 'assisted': None, 'other_player': None}, {'player': 15, 'jersey_color': 'white', 'action': 'Steal', 'result': None, 'assisted': None, 'other_player': None}, {'player': 15, 'jersey_color': 'white', 'action': '3PT Shot', 'result': True, 'assisted': True, 'other_player': 24}];3
../validation/2025/multi/min-vs-den-0022401102_21.mp4;[{'player': 5, 'jersey_color': 'green', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 0, 'jersey_color': 'white', 'action': 'Block', 'result': None, 'assisted': None, 'other_player': 5}, {'player': 24, 'jersey_color': 'white', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];3
../validation/2025/multi/min-vs-den-0022401102_25.mp4;[{'player': 10, 'jersey_color': 'green', 'action': 'Free Throw', 'result': True, 'assisted': None, 'other_player': None}];1
../validation/2025/multi/nyk-vs-cle-0022401103_5.mp4;[{'player': 32, 'jersey_color': 'blue', 'action': 'Block', 'result': None, 'assisted': None, 'other_player': 45}, {'player': 32, 'jersey_color': 'blue', 'action': 'Foul', 'result': None, 'assisted': None, 'other_player': 45}];2
../validation/2025/multi/nyk-vs-cle-0022401103_30.mp4;[{'player': 32, 'jersey_color': 'blue', 'action': '3PT Shot', 'result': True, 'assisted': True, 'other_player': 45}];1
../validation/2025/multi/nyk-vs-cle-0022401103_6.mp4;[{'player': 4, 'jersey_color': 'red', 'action': 'Free Throw', 'result': True, 'assisted': None, 'other_player': None}];1
../validation/2025/multi/orl-vs-sas-0022400988_17.mp4;[{'player': 10, 'jersey_color': 'black', 'action': 'Turnover', 'result': None, 'assisted': None, 'other_player': None}, {'player': 10, 'jersey_color': 'white', 'action': 'Steal', 'result': None, 'assisted': None, 'other_player': 10}];2
